population	n_pop	k_folded	count
afr	33480	568	0
afr	33480	569	0
afr	33480	570	0
afr	33480	571	0
afr	33480	572	0
afr	33480	573	0
afr	33480	574	0
afr	33480	575	0
afr	33480	576	0
afr	33480	577	0
afr	33480	578	0
afr	33480	579	0
afr	33480	580	0
afr	33480	581	0
afr	33480	582	0
afr	33480	583	0
afr	33480	584	0
afr	33480	585	0
afr	33480	586	0
afr	33480	587	0
afr	33480	588	0
afr	33480	589	0
afr	33480	590	0
afr	33480	591	0
afr	33480	592	0
afr	33480	593	0
afr	33480	594	0
afr	33480	595	0
afr	33480	596	0
afr	33480	597	0
afr	33480	598	0
afr	33480	599	0
afr	33480	600	0
afr	33480	601	0
afr	33480	602	0
afr	33480	603	0
afr	33480	604	0
afr	33480	605	0
afr	33480	606	0
afr	33480	607	0
afr	33480	608	0
afr	33480	609	0
afr	33480	610	0
afr	33480	611	0
afr	33480	612	0
afr	33480	613	0
afr	33480	614	0
afr	33480	615	0
afr	33480	616	0
afr	33480	617	0
afr	33480	618	0
afr	33480	619	0
afr	33480	620	0
afr	33480	621	0
afr	33480	622	0
afr	33480	623	0
afr	33480	624	0
afr	33480	625	0
afr	33480	626	0
afr	33480	627	0
afr	33480	628	0
afr	33480	629	0
afr	33480	630	0
afr	33480	631	0
afr	33480	632	0
afr	33480	633	0
afr	33480	634	0
afr	33480	635	0
afr	33480	636	0
afr	33480	637	0
afr	33480	638	0
afr	33480	639	0
afr	33480	640	0
afr	33480	641	0
afr	33480	642	0
afr	33480	643	0
afr	33480	644	0
afr	33480	645	0
afr	33480	646	0
afr	33480	647	0
afr	33480	648	0
afr	33480	649	0
afr	33480	650	0
afr	33480	651	0
afr	33480	652	0
afr	33480	653	0
afr	33480	654	0
afr	33480	655	0
afr	33480	656	0
afr	33480	657	0
afr	33480	658	0
afr	33480	659	0
afr	33480	660	0
afr	33480	661	0
afr	33480	662	0
afr	33480	663	0
afr	33480	664	0
afr	33480	665	0
afr	33480	666	0
afr	33480	667	0
afr	33480	668	0
afr	33480	669	0
afr	33480	670	0
afr	33480	671	0
afr	33480	672	0
afr	33480	673	0
afr	33480	674	0
afr	33480	675	0
afr	33480	676	0
afr	33480	677	0
afr	33480	678	0
afr	33480	679	0
afr	33480	680	0
afr	33480	681	0
afr	33480	682	0
afr	33480	683	0
afr	33480	684	0
afr	33480	685	0
afr	33480	686	0
afr	33480	687	0
afr	33480	688	0
afr	33480	689	0
afr	33480	690	0
afr	33480	691	0
afr	33480	692	0
afr	33480	693	0
afr	33480	694	0
afr	33480	695	0
afr	33480	696	0
afr	33480	697	0
afr	33480	698	0
afr	33480	699	0
afr	33480	700	0
afr	33480	701	0
afr	33480	702	0
afr	33480	703	0
afr	33480	704	0
afr	33480	705	0
afr	33480	706	0
afr	33480	707	0
afr	33480	708	0
afr	33480	709	0
afr	33480	710	0
afr	33480	711	0
afr	33480	712	0
afr	33480	713	0
afr	33480	714	0
afr	33480	715	0
afr	33480	716	0
afr	33480	717	0
afr	33480	718	0
afr	33480	719	0
afr	33480	720	0
afr	33480	721	0
afr	33480	722	0
afr	33480	723	0
afr	33480	724	0
afr	33480	725	0
afr	33480	726	0
afr	33480	727	0
afr	33480	728	0
afr	33480	729	0
afr	33480	730	0
afr	33480	731	0
afr	33480	732	0
afr	33480	733	0
afr	33480	734	0
afr	33480	735	0
afr	33480	736	0
afr	33480	737	0
afr	33480	738	0
afr	33480	739	0
afr	33480	740	0
afr	33480	741	0
afr	33480	742	0
afr	33480	743	0
afr	33480	744	0
afr	33480	745	0
afr	33480	746	0
afr	33480	747	0
afr	33480	748	0
afr	33480	749	0
afr	33480	750	0
afr	33480	751	0
afr	33480	752	0
afr	33480	753	0
afr	33480	754	0
afr	33480	755	0
afr	33480	756	0
afr	33480	757	0
afr	33480	758	0
afr	33480	759	0
afr	33480	760	0
afr	33480	761	0
afr	33480	762	0
afr	33480	763	0
afr	33480	764	0
afr	33480	765	0
afr	33480	766	0
afr	33480	767	0
afr	33480	768	0
afr	33480	769	0
afr	33480	770	0
afr	33480	771	0
afr	33480	772	0
afr	33480	773	0
afr	33480	774	0
afr	33480	775	0
afr	33480	776	0
afr	33480	777	0
afr	33480	778	0
afr	33480	779	0
afr	33480	780	0
afr	33480	781	0
afr	33480	782	0
afr	33480	783	0
afr	33480	784	0
afr	33480	785	0
afr	33480	786	0
afr	33480	787	0
afr	33480	788	0
afr	33480	789	1
afr	33480	790	0
afr	33480	791	0
afr	33480	792	0
afr	33480	793	0
afr	33480	794	0
afr	33480	795	1
afr	33480	796	0
afr	33480	797	0
afr	33480	798	0
afr	33480	799	0
afr	33480	800	0
afr	33480	801	0
afr	33480	802	0
afr	33480	803	0
afr	33480	804	0
afr	33480	805	0
afr	33480	806	0
afr	33480	807	0
afr	33480	808	0
afr	33480	809	0
afr	33480	810	0
afr	33480	811	0
afr	33480	812	0
afr	33480	813	0
afr	33480	814	0
afr	33480	815	0
afr	33480	816	0
afr	33480	817	0
afr	33480	818	0
afr	33480	819	0
afr	33480	820	0
afr	33480	821	0
afr	33480	822	0
afr	33480	823	0
afr	33480	824	0
afr	33480	825	0
afr	33480	826	0
afr	33480	827	0
afr	33480	828	0
afr	33480	829	0
afr	33480	830	0
afr	33480	831	0
afr	33480	832	0
afr	33480	833	0
afr	33480	834	0
afr	33480	835	0
afr	33480	836	0
afr	33480	837	0
afr	33480	838	0
afr	33480	839	0
afr	33480	840	0
afr	33480	841	0
afr	33480	842	0
afr	33480	843	0
afr	33480	844	0
afr	33480	845	0
afr	33480	846	0
afr	33480	847	0
afr	33480	848	0
afr	33480	849	0
afr	33480	850	0
afr	33480	851	0
afr	33480	852	0
afr	33480	853	0
afr	33480	854	0
afr	33480	855	0
afr	33480	856	0
afr	33480	857	0
afr	33480	858	0
afr	33480	859	0
afr	33480	860	0
afr	33480	861	0
afr	33480	862	0
afr	33480	863	0
afr	33480	864	0
afr	33480	865	0
afr	33480	866	0
afr	33480	867	0
afr	33480	868	0
afr	33480	869	0
afr	33480	870	0
afr	33480	871	0
afr	33480	872	0
afr	33480	873	0
afr	33480	874	0
afr	33480	875	0
afr	33480	876	0
afr	33480	877	0
afr	33480	878	0
afr	33480	879	0
afr	33480	880	0
afr	33480	881	0
afr	33480	882	0
afr	33480	883	0
afr	33480	884	0
afr	33480	885	0
afr	33480	886	0
afr	33480	887	0
afr	33480	888	0
afr	33480	889	0
afr	33480	890	0
afr	33480	891	0
afr	33480	892	0
afr	33480	893	0
afr	33480	894	0
afr	33480	895	0
afr	33480	896	0
afr	33480	897	0
afr	33480	898	0
afr	33480	899	0
afr	33480	900	0
afr	33480	901	0
afr	33480	902	0
afr	33480	903	0
afr	33480	904	0
afr	33480	905	0
afr	33480	906	0
afr	33480	907	0
afr	33480	908	0
afr	33480	909	0
afr	33480	910	0
afr	33480	911	0
afr	33480	912	0
afr	33480	913	0
afr	33480	914	0
afr	33480	915	0
afr	33480	916	0
afr	33480	917	0
afr	33480	918	0
afr	33480	919	0
afr	33480	920	0
afr	33480	921	0
afr	33480	922	0
afr	33480	923	0
afr	33480	924	0
afr	33480	925	0
afr	33480	926	0
afr	33480	927	0
afr	33480	928	0
afr	33480	929	0
afr	33480	930	0
afr	33480	931	0
afr	33480	932	0
